# data extracted from Figure 5 of CI CCD data sheet
# https://www.onsemi.com/pub/Collateral/KAF-6303-D.PDF

lambda_nm, qe
945.7293497363796, 0.13140271493212674
951.5289982425306, 0.1224434389140272
957.3286467486819, 0.11348416289592766
963.1282952548329, 0.10452488687782813
970.0878734622142, 0.09257918552036204
975.8875219683655, 0.0836199095022625
982.8471001757468, 0.0731674208144798
988.6467486818981, 0.06122171945701371
996.7662565905096, 0.05375565610859745
1003.7258347978909, 0.046289592760181075
1013.0052724077327, 0.03733031674208154
1019.9648506151141, 0.03135746606334844
1025.7644991212653, 0.026877828054298614
1033.8840070298768, 0.0223981900452489
1043.1634446397188, 0.017918552036199076
1057.0826010544815, 0.011945701357466199
1069.841827768014, 0.008959276018099538
1081.4411247803164, 0.007466063348416485
1091.8804920913883, 0.005972850678733099
1100, 0.005972850678733099
